timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1771964112.5781116,270408.09375,710710.0625,711230.8125,711253.625,711116.5,711143.375,711488.5,711841.6875,0.0
1771964112.5805893,270396.21875,710910.25,711431.375,711454.0625,711316.5625,711343.5625,711688.875,712042.0625,0.0
1771964112.583558,270280.4375,710841.1875,711362.5625,711385.25,711247.375,711274.75,711620.0625,711973.375,0.0
1771964112.5836515,270281.6875,710635.8125,711157.1875,711179.625,711042.1875,711069.375,711414.9375,711767.8125,0.0
1771964112.6381865,270385.40625,710681.375,711202.5,711224.875,711087.625,711114.6875,711460.375,711813.0625,0.0
1771964112.6417148,270396.75,710891.625,711412.8125,711435.4375,711298.1875,711325.375,711671.0,712023.625,0.0
1771964112.6417544,270293.5,710880.625,711401.8125,711424.125,711287.1875,711314.1875,711659.8125,712012.6875,0.0
1771964112.6417754,270267.90625,710666.75,711187.75,711210.0,711073.25,711100.5625,711445.75,711798.6875,0.0
1771964112.6458423,270369.65625,710656.25,711177.375,711199.4375,711062.5,711089.6875,711435.125,711787.875,0.0
1771964112.6458902,270409.4375,710866.625,711388.0,711409.9375,711272.9375,711299.875,711645.4375,711998.25,0.0
1771964112.64591,270318.875,710911.8125,711433.1875,711455.5,711318.3125,711345.125,711690.75,712043.75,0.0
1771964112.6459248,270266.84375,710707.1875,711228.8125,711251.0625,711114.1875,711140.875,711486.125,711839.1875,0.0
1771964112.6494057,270358.9375,710640.75,711162.4375,711184.6875,711047.75,711074.625,711420.1875,711772.8125,0.0
1771964112.6494431,270420.90625,710836.0,711357.625,711380.125,711243.25,711269.8125,711615.5,711968.0625,0.0
1771964112.649462,270341.9375,710932.0625,711453.625,711476.25,711339.1875,711365.75,711711.125,712063.6875,0.0
1771964112.6515615,270275.96875,710748.5,711269.5625,711292.0625,711155.3125,711182.125,711527.125,711879.6875,0.0
1771964112.6544645,270356.96875,710633.0625,711154.5,711176.8125,711040.0625,711066.8125,711412.0625,711764.8125,0.0
1771964112.6565807,270434.9375,710799.5625,711320.9375,711343.25,711206.5,711233.25,711578.625,711931.25,0.0
1771964112.6592515,270370.46875,710942.4375,711463.8125,711486.0,711349.125,711375.9375,711721.0625,712074.25,0.0
1771964112.6592867,270277.21875,710793.1875,711314.25,711336.875,711199.3125,711226.125,711571.75,711924.375,0.0
