timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1772754128.4211736,701538.875,400647.625,704864.0,707118.375,707056.25,234971.390625,462162.3125,237528.609375,0.0
1772754128.43291,701414.5625,400632.40625,704790.25,707118.75,707056.875,234968.34375,462080.59375,237517.515625,0.0
1772754128.4329596,701288.25,400614.09375,704721.5625,707120.1875,707058.375,234971.03125,462004.9375,237511.703125,0.0
1772754128.4378347,701169.6875,400601.46875,704652.0,707120.4375,707057.9375,234970.21875,461930.03125,237503.390625,0.0
1772754128.4378843,701054.0,400590.5625,704584.5,707120.375,707057.875,234969.0625,461855.09375,237495.609375,0.0
1772754128.4397788,700939.9375,400582.34375,704517.5625,707121.5,707059.375,234967.453125,461780.53125,237487.65625,0.0
1772754128.442,700821.0,400570.46875,704445.125,707119.125,707057.4375,234963.25,461702.40625,237474.59375,0.0
1772754128.4535418,700696.75,400554.46875,704373.9375,707118.75,707057.625,234962.359375,461625.875,237465.03125,0.0
1772754128.4565058,700576.1875,400540.15625,704299.3125,707119.75,707058.25,234960.125,461549.25,237457.796875,0.0
1772754128.45657,700463.8125,400530.75,704225.8125,707118.9375,707057.625,234958.515625,461471.625,237451.171875,0.0
1772754128.4586296,700354.5,400524.40625,704156.0625,707118.1875,707057.4375,234956.0,461396.09375,237443.3125,0.0
1772754128.4673097,700239.4375,400516.1875,704085.25,707117.875,707057.25,234955.015625,461319.5625,237433.03125,0.0
1772754128.4704545,700121.375,400502.25,704014.875,707119.8125,707059.625,234954.75,461244.90625,237424.796875,0.0
1772754128.4705129,700006.875,400490.4375,703945.0625,707121.8125,707061.625,234953.859375,461173.65625,237419.4375,0.0
1772754128.4735525,699896.875,400483.65625,703872.375,707122.5625,707062.0625,234950.46875,461096.84375,237409.515625,0.0
1772754128.489895,699784.5,400472.375,703802.625,707123.125,707062.25,234951.53125,461023.34375,237401.5625,0.0
1772754128.4925585,699665.4375,400455.125,703731.8125,707123.1875,707062.4375,234948.9375,460947.1875,237391.546875,0.0
1772754128.492602,699555.1875,400446.90625,703665.0625,707123.125,707063.125,234948.234375,460871.96875,237383.9375,0.0
1772754128.494985,699454.0625,400444.5625,703601.5,707124.125,707063.75,234951.984375,460801.53125,237380.640625,0.0
1772754128.4974425,699344.875,400434.75,703531.75,707125.0,707064.5,234950.640625,460728.5625,237374.546875,0.0
1772754128.4994605,699233.25,400422.03125,703460.1875,707124.5625,707064.5,234948.859375,460653.46875,237367.40625,0.0
1772754128.51211,699117.375,400404.78125,703388.0625,707125.75,707065.625,234949.03125,460575.875,237358.640625,0.0
1772754128.515086,699009.5625,400396.375,703320.625,707129.75,707069.5,234952.875,460503.34375,237355.15625,0.0
1772754128.5151296,698906.1875,400390.46875,703253.75,707129.8125,707069.8125,234954.484375,460433.4375,237351.9375,0.0
1772754128.517532,698801.9375,400381.28125,703184.9375,707128.5625,707068.75,234954.484375,460363.0625,237343.625,0.0
1772754128.5257597,698696.8125,400370.625,703115.5625,707129.5625,707069.1875,234953.140625,460290.5625,237336.46875,0.0
1772754128.5285537,698585.8125,400355.34375,703043.6875,707128.875,707068.75,234951.453125,460216.09375,237328.78125,0.0
1772754128.5310693,698473.8125,400339.875,702974.8125,707129.9375,707070.4375,234949.296875,460145.8125,237324.390625,0.0
1772754128.5332458,698365.8125,400326.125,702902.125,707130.125,707070.8125,234946.34375,460072.9375,237319.03125,0.0
1772754128.5401456,698260.75,400315.03125,702829.25,707130.0,707070.3125,234945.359375,459997.65625,237312.5,0.0
1772754128.5402176,698153.3125,400303.9375,702760.1875,707131.375,707071.8125,234947.0625,459925.34375,237305.171875,0.0
1772754128.5460553,698046.4375,400293.84375,702687.75,707132.1875,707072.375,234945.359375,459855.4375,237299.625,0.0
