timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1762651844.7229078,72837.0078125,72563.15625,73123.5546875,72916.3984375,73012.0625,73106.2109375,73203.21875,73365.578125,0.0
1762651844.7253711,73566.03125,73292.0859375,73853.1171875,73645.515625,73741.1796875,73835.1484375,73932.78125,74095.6796875,0.0
1762651844.72764,73409.4765625,73135.265625,73696.65625,73488.875,73584.2734375,73678.8671875,73776.40625,73938.9453125,0.0
1762651844.7307868,72604.3671875,72330.15625,72890.828125,72683.671875,72779.1640625,72873.6640625,72970.578125,73132.765625,0.0
1762651844.7331152,72869.375,72595.1640625,73155.5625,72948.8515625,73044.0703125,73138.3984375,73235.3125,73397.765625,0.0
1762651844.7355127,73720.3515625,73445.78125,74006.8984375,73799.5625,73894.9609375,73988.65625,74086.5625,74249.640625,0.0
1762651844.7482708,73704.96875,73430.3125,73991.34375,73784.453125,73879.5859375,73973.3671875,74071.2734375,74234.53125,0.0
1762651844.7483473,72931.6015625,72657.5703125,73217.96875,73010.6328125,73106.390625,73200.1796875,73297.71875,73460.265625,0.0
1762651844.7508783,72919.2578125,72645.2265625,73205.8984375,72998.65625,73094.0546875,73188.109375,73285.4765625,73447.75,0.0
1762651844.750954,73840.3359375,73565.9453125,74126.96875,73919.90625,74014.765625,74109.0,74206.71875,74369.890625,0.0
1762651844.7530603,73971.3125,73697.1953125,74258.0390625,74051.15625,74145.921875,74240.0703125,74337.703125,74501.046875,0.0
1762651844.7552726,73282.4296875,73008.21875,73568.984375,73362.09375,73456.7734375,73551.546875,73648.640625,73811.2734375,0.0
1762651844.755324,73000.4453125,72726.5859375,73286.8125,73079.75,73175.0546875,73269.3828125,73366.65625,73529.109375,0.0
1762651844.75819,73927.7734375,73653.3828125,74214.140625,74007.1640625,74102.1171875,74196.0859375,74294.1640625,74457.2421875,0.0
1762651844.7606337,74211.015625,73936.7109375,74497.65625,74290.5859375,74385.625,74479.5,74577.671875,74740.9296875,0.0
1762651844.7628324,73640.421875,73366.296875,73926.96875,73719.9921875,73815.1171875,73909.0859375,74006.984375,74169.6171875,0.0
1762651844.7657833,73128.1171875,72854.0859375,73414.484375,73207.328125,73302.90625,73397.0546875,73494.1484375,73656.8671875,0.0
1762651844.7658591,73984.8125,73710.15625,74271.5390625,74064.03125,74159.25,74253.2109375,74351.203125,74514.28125,0.0
1762651844.770642,74424.25,74150.0390625,74711.2421875,74503.8203125,74598.859375,74692.6484375,74790.8203125,74954.609375,0.0
1762651844.773379,73989.5546875,73715.6953125,74276.4609375,74068.9453125,74164.34375,74258.578125,74356.125,74519.2890625,0.0
1762651844.7759323,73307.5546875,73033.2578125,73594.375,73386.4140625,73482.34375,73576.4921875,73673.859375,73836.578125,0.0
1762651844.776012,74016.4609375,73742.0703125,74303.546875,74095.9453125,74191.34375,74285.578125,74382.8515625,74546.2890625,0.0
