timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1762982317.1104789,80212.6328125,79936.90625,80496.5,80289.34375,80385.90625,80478.0,80575.5390625,80743.0859375,0.0
1762982317.116826,80125.015625,79849.2890625,80408.5234375,80201.4609375,80297.84375,80390.6484375,80487.6484375,80655.0234375,0.0
1762982317.1168613,80053.9375,79778.296875,80337.5390625,80130.46875,80227.1171875,80319.7421875,80416.5703125,80584.03125,0.0
1762982317.118742,80053.7578125,79777.9375,80337.625,80130.46875,80227.03125,80319.4765625,80416.484375,80584.03125,0.0
1762982317.1301627,80066.6328125,79790.90625,80350.4140625,80143.4375,80239.9921875,80332.3515625,80429.984375,80596.90625,0.0
1762982317.1331644,80019.7890625,79744.140625,80303.65625,80096.5,80193.0546875,80285.5,80382.6875,80550.328125,0.0
1762982317.1332004,79977.3203125,79701.765625,80261.1875,80053.9375,80150.5,80243.125,80340.484375,80507.765625,0.0
1762982317.1388624,79978.2109375,79702.65625,80262.078125,80054.8359375,80151.484375,80243.75,80340.84375,80508.3046875,0.0
1762982317.153761,79990.90625,79715.625,80275.0390625,80067.6171875,80164.8046875,80256.265625,80353.5390625,80521.265625,0.0
1762982317.1538146,79925.015625,79649.4609375,80208.703125,80001.7265625,80098.640625,80190.4609375,80287.734375,80455.46875,0.0
1762982317.1538253,79838.0234375,79562.109375,80121.4375,79914.734375,80011.2890625,80103.46875,80200.65625,80368.203125,0.0
1762982317.1562767,79786.8828125,79511.2421875,80070.5703125,79863.3203125,79960.0625,80052.328125,80149.421875,80317.0625,0.0
1762982317.1587777,79770.515625,79495.4140625,80054.5625,79847.3203125,79943.96875,80036.0546875,80133.3359375,80300.7890625,0.0
1762982317.161316,79684.953125,79409.671875,79968.5546875,79761.578125,79858.2265625,79950.046875,80047.859375,80214.875,0.0
1762982317.164938,79567.4765625,79291.7421875,79850.8984375,79643.921875,79740.5703125,79832.5703125,79929.9296875,80096.9453125,0.0
1762982317.1768122,79488.0859375,79212.171875,79771.4140625,79564.1640625,79661.171875,79753.3515625,79849.9140625,80017.1953125,0.0
1762982317.1768472,79457.6875,79181.7734375,79741.015625,79534.0390625,79630.421875,79723.1328125,79820.140625,79986.8828125,0.0
1762982317.1793652,79376.7734375,79101.21875,79660.0078125,79453.03125,79549.6796875,79642.21875,79738.9609375,79906.0625,0.0
1762982317.1794028,79258.578125,78983.203125,79542.171875,79334.9296875,79431.484375,79524.203125,79620.765625,79788.0390625,0.0
1762982317.1875083,79172.2109375,78897.1875,79456.34375,79248.6484375,79345.390625,79437.921875,79535.203125,79702.03125,0.0
1762982317.18986,79146.0078125,78870.640625,79429.875,79222.453125,79319.28125,79411.8203125,79508.828125,79675.4765625,0.0
1762982317.1975343,79081.4609375,78806.0,79365.234375,79158.078125,79255.0859375,79347.4453125,79443.828125,79610.75,0.0
1762982317.1999905,78958.703125,78683.0625,79242.390625,79034.7890625,79131.8828125,79224.2421875,79320.53125,79487.6328125,0.0
1762982317.2025075,78856.421875,78580.78125,79140.2890625,78932.328125,79029.515625,79121.9609375,79218.34375,79385.0859375,0.0
1762982317.2118194,78811.453125,78536.078125,79094.9609375,78887.7109375,78984.6328125,79077.1640625,79173.28125,79340.2890625,0.0
1762982317.2118556,78754.3203125,78479.03125,79038.2734375,78830.5859375,78927.6796875,79020.484375,79116.59375,79283.609375,0.0
1762982317.213768,78634.6015625,78359.3203125,78918.6484375,78710.78125,78807.9609375,78900.859375,78997.0625,79163.984375,0.0
1762982317.2174878,78527.046875,78251.671875,78811.2734375,78603.3125,78700.3203125,78792.9453125,78889.6796875,79056.15625,0.0
1762982317.226926,78482.4296875,78206.8828125,78766.03125,78558.25,78655.4375,78747.8828125,78844.53125,79011.09375,0.0
1762982317.2269812,78450.6953125,78175.3203125,78734.203125,78526.78125,78623.515625,78716.234375,78812.7890625,78979.0859375,0.0
1762982317.2287376,78352.34375,78077.1484375,78636.125,78428.25,78525.5234375,78618.328125,78714.4453125,78881.1875,0.0
1762982317.2349956,78256.6796875,77981.484375,78540.546875,78332.671875,78430.1328125,78522.6640625,78618.953125,78785.703125,0.0
1762982317.24438,78214.8359375,77939.4609375,78498.4375,78290.3828125,78388.015625,78480.46875,78576.7578125,78743.3203125,0.0
1762982317.244416,78197.578125,77922.296875,78480.9140625,78272.953125,78370.671875,78463.390625,78559.3203125,78725.796875,0.0
1762982317.2468257,78101.203125,77825.9140625,78384.7109375,78177.015625,78274.5625,78366.921875,78463.03125,78629.328125,0.0
1762982317.2468612,77980.234375,77704.859375,78263.7421875,78056.2265625,78153.4140625,78246.1328125,78342.0625,78508.453125,0.0
1762982317.275088,77893.5078125,77618.3125,78176.484375,77969.328125,78066.6875,78158.9609375,78255.3359375,78421.453125,0.0
1762982317.2774968,77837.8984375,77563.1484375,78121.2265625,77913.984375,78011.078125,78103.6171875,78200.171875,78366.0234375,0.0
1762982317.2800648,77707.359375,77432.5234375,77990.875,77783.359375,77880.7265625,77973.4375,78069.5546875,78235.21875,0.0
1762982317.2825003,77536.328125,77261.3984375,77819.4765625,77612.1484375,77709.6875,77802.40625,77898.4296875,78064.0078125,0.0
1762982317.285008,77399.0859375,77124.34375,77682.2421875,77474.7265625,77572.625,77665.0703125,77761.09375,77926.5859375,0.0
1762982317.2875457,77313.4375,77038.8671875,77596.9453125,77389.1640625,77486.796875,77579.8671875,77675.359375,77841.3828125,0.0
1762982317.2900317,77177.4453125,76902.609375,77461.046875,77253.265625,77350.71875,77443.5234375,77539.28125,77705.3046875,0.0
1762982317.2925062,76999.796875,76724.6875,77283.3984375,77075.6171875,77173.0703125,77265.421875,77361.8984375,77527.65625,0.0
1762982317.2948787,76860.3203125,76585.21875,77143.5625,76936.140625,77033.7734375,77126.125,77222.421875,77387.5546875,0.0
1762982317.3023593,76793.7109375,76518.609375,77077.046875,76869.6171875,76967.34375,77059.6953125,77155.8125,77321.0390625,0.0
1762982317.3050127,76698.671875,76423.65625,76982.0078125,76774.7578125,76872.2109375,76964.8359375,77060.59375,77226.0859375,0.0
1762982317.3081727,76543.109375,76268.0,76826.4375,76618.921875,76716.46875,76809.4453125,76904.6640625,77070.25,0.0
1762982317.3082078,76411.0546875,76135.765625,76694.0234375,76486.421875,76584.140625,76676.765625,76772.1640625,76937.5703125,0.0
1762982317.309997,76340.6015625,76065.4921875,76623.484375,76415.96875,76514.140625,76606.671875,76702.0703125,76867.296875,0.0
1762982317.313154,76254.5,75979.3046875,76537.203125,76329.9609375,76428.0390625,76520.578125,76616.2421875,76781.015625,0.0
1762982317.3131838,76089.2734375,75814.078125,76372.25,76164.46875,76262.1875,76355.4375,76450.9296875,76615.703125,0.0
1762982317.316252,75927.8984375,75653.234375,76211.2265625,76003.359375,76101.34375,76194.6875,76289.546875,76454.1484375,0.0
1762982317.330566,75818.5546875,75543.7109375,76101.2578125,75894.0078125,75991.8203125,76084.625,76179.84375,76344.53125,0.0
1762982317.3306015,75708.3125,75433.65625,75991.375,75783.59375,75881.40625,75974.296875,76069.78125,76234.3828125,0.0
1762982317.3362355,75511.2578125,75236.9609375,75794.59375,75586.453125,75684.6171875,75777.6953125,75872.640625,76037.421875,0.0
1762982317.3487873,75300.8828125,75026.8515625,75584.21875,75376.4375,75474.515625,75567.5859375,75662.265625,75827.2265625,0.0
1762982317.348842,75144.6875,74870.65625,75428.2890625,75220.2421875,75318.5859375,75411.65625,75506.1640625,75670.5859375,0.0
1762982317.348856,75021.21875,74747.1875,75304.375,75096.3203125,75195.203125,75288.0078125,75382.421875,75547.0234375,0.0
1762982317.3512516,74819.7890625,74545.578125,75102.671875,74894.6171875,74993.328125,75086.578125,75180.453125,75345.3203125,0.0
1762982317.353766,74604.671875,74330.375,74887.6484375,74679.6875,74778.3046875,74871.28125,74965.7890625,75129.9375,0.0
1762982317.356263,74451.7890625,74177.125,74734.7578125,74526.53125,74625.1484375,74718.1328125,74812.546875,74976.609375,0.0
1762982317.3587856,74358.8046875,74084.0546875,74641.5078125,74433.4609375,74531.8984375,74625.4140625,74719.5625,74883.53125,0.0
1762982317.3612647,74209.8515625,73935.015625,74492.2890625,74284.328125,74382.8515625,74476.1953125,74570.4296875,74734.3125,0.0
1762982317.3650265,74043.109375,73768.8984375,74325.9921875,74117.40625,74216.5546875,74309.8046875,74404.21875,74567.65625,0.0
1762982317.379319,73932.6875,73658.2109375,74215.6640625,74006.8046875,74106.140625,74199.3046875,74293.5390625,74456.8828125,0.0
1762982317.3793547,73895.8515625,73621.1953125,74178.6484375,73969.96875,74069.3046875,74162.46875,74256.7890625,74420.2265625,0.0
1762982317.381755,73819.140625,73545.203125,74102.203125,73893.6171875,73993.0390625,74086.203125,74180.171875,74343.78125,0.0
1762982317.3818185,73698.265625,73424.140625,73980.96875,73772.3828125,73872.0703125,73965.1484375,74058.9296875,74222.3671875,0.0
1762982317.3837616,73619.140625,73344.8359375,73901.6640625,73693.171875,73792.4140625,73885.75,73979.71875,74142.8828125,0.0
1762982317.3926115,73612.1640625,73337.5078125,73894.2421875,73686.015625,73785.171875,73878.78125,73972.296875,74135.734375,0.0
1762982317.3958864,73570.859375,73296.0234375,73852.8515625,73644.796875,73743.953125,73837.2890625,73930.8125,74094.3359375,0.0
1762982317.3959413,73461.0703125,73186.5859375,73743.5078125,73535.1875,73634.25,73727.6796875,73821.203125,73984.8125,0.0
1762982317.401221,73375.328125,73101.0234375,73658.03125,73449.8046875,73548.328125,73641.7578125,73735.640625,73898.890625,0.0
1762982317.4105651,73355.921875,73082.1640625,73638.453125,73430.3125,73529.2890625,73622.71875,73716.5,73879.9375,0.0
1762982317.4106011,73320.25,73046.0390625,73602.78125,73394.7265625,73493.7890625,73587.21875,73680.5625,73844.265625,0.0
1762982317.4124699,73195.9765625,72921.5,73478.3203125,73270.2734375,73369.6015625,73462.765625,73556.2890625,73719.546875,0.0
1762982317.4185498,73071.4296875,72797.0390625,73353.3359375,73145.4609375,73245.1484375,73338.1328125,73431.7421875,73594.5546875,0.0
1762982317.4233117,73003.21875,72729.1796875,73285.3828125,73077.3359375,73176.75,73270.0078125,73363.5234375,73526.421875,0.0
1762982317.4233632,72935.0,72660.6953125,73217.34375,73009.296875,73108.4453125,73201.7890625,73295.484375,73458.3828125,0.0
1762982317.4262533,72759.671875,72485.015625,73041.75,72834.0546875,72932.671875,73026.1015625,73119.625,73282.609375,0.0
1762982317.4351175,72563.8671875,72289.4765625,72845.765625,72637.8984375,72737.140625,72830.484375,72924.0,73086.5390625,0.0
1762982317.439453,72451.75,72177.6328125,72733.7421875,72525.515625,72625.109375,72718.546875,72811.8828125,72974.3359375,0.0
1762982317.43951,72404.8125,72130.9609375,72686.8046875,72479.0234375,72578.4453125,72672.0546875,72765.2109375,72927.84375,0.0
1762982317.4412425,72277.5859375,72003.734375,72560.0234375,72351.53125,72451.3046875,72544.9140625,72638.1640625,72800.4375,0.0
1762982317.4551046,72119.609375,71846.1953125,72402.3125,72194.078125,72293.953125,72387.109375,72480.2734375,72642.3671875,0.0
1762982317.4581754,72015.1796875,71741.859375,72297.5234375,72089.5625,72189.25,72282.5078125,72375.4921875,72538.2109375,0.0
1762982317.4582107,71976.8203125,71703.328125,72259.078125,72050.765625,72150.6328125,72244.0625,72336.7734375,72499.5859375,0.0
1762982317.4599977,71863.2734375,71589.78125,72145.265625,71937.3046875,72037.0859375,72130.78125,72223.40625,72385.7734375,0.0
1762982317.462509,71703.1484375,71429.3828125,71984.78125,71777.0,71876.7734375,71970.3828125,72062.921875,72225.28125,0.0
1762982317.4712293,71587.09375,71313.3359375,71869.0859375,71661.3046875,71760.6328125,71854.421875,71946.875,72108.96875,0.0
1762982317.4755547,71542.0390625,71268.2734375,71824.1171875,71616.421875,71715.7578125,71809.2734375,71902.1640625,72064.0859375,0.0
1762982317.47559,71435.640625,71161.96875,71717.6328125,71510.1171875,71609.453125,71703.1484375,71795.6875,71957.9609375,0.0
1762982317.4812546,71251.375,70978.328125,71533.5390625,71325.671875,71425.1796875,71518.8828125,71611.328125,71773.5078125,0.0
